modality,rsn_idx,rsn_name,scale,mean_diff,t,p,n
BOLD,0,medial_visual,1,0.016795663341905607,0.3104275979895248,0.7641692223940242,9
BOLD,0,medial_visual,2,-0.053142975495858814,-1.145792095350949,0.2849970791176223,9
BOLD,0,medial_visual,3,-0.08535330044262014,-1.32025983919539,0.22326979039500705,9
BOLD,0,medial_visual,4,-0.08122435167196101,-1.337169242616173,0.21793865925392022,9
BOLD,0,medial_visual,5,-0.09213912209934952,-1.4532084887225698,0.18423785423925843,9
BOLD,0,medial_visual,6,-0.07889125104159557,-1.2877895207407466,0.23381952181230348,9
BOLD,1,occipital_pole,1,-0.009665122846303399,-0.18975493669717264,0.8542273908734677,9
BOLD,1,occipital_pole,2,-0.04356098315149995,-0.7051610619288201,0.5007222493789141,9
BOLD,1,occipital_pole,3,-0.06407762468719587,-0.8192998166181548,0.43634113589847434,9
BOLD,1,occipital_pole,4,-0.07094814598820497,-0.8466541922679978,0.4217906228437127,9
BOLD,1,occipital_pole,5,-0.09696662484386041,-1.0432032448673771,0.3273500863130455,9
BOLD,1,occipital_pole,6,-0.10769262426570865,-1.3089467466630795,0.2268984717925926,9
BOLD,2,lateral_visual,1,0.05228879201036048,0.8103247582510178,0.44118989171846246,9
BOLD,2,lateral_visual,2,0.0287703501576871,0.5073472469416467,0.6255984752182981,9
BOLD,2,lateral_visual,3,-0.005826380045342176,-0.09258793111388901,0.9285075701262783,9
BOLD,2,lateral_visual,4,-0.007159591181375349,-0.10345824761956485,0.9201458231437014,9
BOLD,2,lateral_visual,5,-0.0019050766659071622,-0.02730042804531587,0.9788888525687047,9
BOLD,2,lateral_visual,6,-0.033226796437629234,-0.5947847781475278,0.5684242853631598,9
BOLD,3,default_mode,1,0.020233806403317806,0.6016734217278067,0.5640489726470664,9
BOLD,3,default_mode,2,-0.02286944627079755,-0.8992970926505959,0.3947565376789165,9
BOLD,3,default_mode,3,-0.036810973629811033,-0.9333784221988027,0.37793513597757744,9
BOLD,3,default_mode,4,-0.04204170553070271,-1.0435672906364557,0.3271915180802458,9
BOLD,3,default_mode,5,-0.049953662382954636,-1.0566279164724177,0.32154207145754965,9
BOLD,3,default_mode,6,-0.056693800380547846,-1.2995417125163033,0.2299532860981951,9
BOLD,4,cerebellum,1,-0.01997809260298606,-0.2930539905097575,0.7769386464989985,9
BOLD,4,cerebellum,2,-0.042685429948392375,-0.8680849075674445,0.4106311808284876,9
BOLD,4,cerebellum,3,-0.04619629673656429,-0.8398712223137054,0.4253666525232944,9
BOLD,4,cerebellum,4,-0.06642769280008565,-1.177496547977516,0.27283779351764315,9
BOLD,4,cerebellum,5,-0.07503440602115215,-1.5207461642380007,0.16681465354205924,9
BOLD,4,cerebellum,6,-0.08210207057280113,-1.8954695387519915,0.09462578867755002,9
BOLD,5,sensorimotor,1,-0.05008284638256093,-0.7219743623413846,0.4908716038233185,9
BOLD,5,sensorimotor,2,-0.06454442707957132,-0.9777462515370471,0.3568366455890588,9
BOLD,5,sensorimotor,3,-0.058980279054986456,-0.8147599479419292,0.43878918646813947,9
BOLD,5,sensorimotor,4,-0.06585154819477929,-0.838736689154517,0.4259668489838314,9
BOLD,5,sensorimotor,5,-0.07311504323613455,-0.9675294498792125,0.36161510533727315,9
BOLD,5,sensorimotor,6,-0.05550247332195898,-0.6674139275472715,0.5232894388276933,9
BOLD,6,auditory,1,0.032169125659581764,0.6537928585780447,0.5315843388470897,9
BOLD,6,auditory,2,0.008721200523012118,0.20658256071236092,0.8414967458784626,9
BOLD,6,auditory,3,-0.02750763450262547,-0.6040005563392161,0.5625752910978523,9
BOLD,6,auditory,4,-0.06303371375447209,-1.330186705415674,0.22012671126148523,9
BOLD,6,auditory,5,-0.07422531716792774,-1.650281926155028,0.13749275866882357,9
BOLD,6,auditory,6,-0.09023288217482565,-1.8908381428802057,0.09530288719107341,9
BOLD,7,executive_ctrl,1,-0.012202863604182705,-0.2141395903500252,0.8357954628706306,9
BOLD,7,executive_ctrl,2,-0.027672982465549428,-0.5076685937356015,0.6253829747870425,9
BOLD,7,executive_ctrl,3,-0.07504939390966957,-1.155517418492811,0.28122134458766107,9
BOLD,7,executive_ctrl,4,-0.0859801056934044,-1.1973271007780746,0.2654501662253507,9
BOLD,7,executive_ctrl,5,-0.11448168660220354,-1.6086225632550064,0.14636544741733826,9
BOLD,7,executive_ctrl,6,-0.12892009476430147,-1.7123192924759496,0.12519504720470676,9
BOLD,8,right_frontoparietal,1,-0.015047271857397453,-0.3256093052251045,0.7530731818569562,9
BOLD,8,right_frontoparietal,2,-0.03627660644176836,-0.8057296069452965,0.443686660851216,9
BOLD,8,right_frontoparietal,3,-0.022142859925833962,-0.6933949167959454,0.5076899455725928,9
BOLD,8,right_frontoparietal,4,-0.010596327421227717,-0.46992464574345105,0.65095230574188,9
BOLD,8,right_frontoparietal,5,-0.008934498367894604,-0.3352259393292741,0.746075820569472,9
BOLD,8,right_frontoparietal,6,-0.0068212865770966675,-0.2138444163668924,0.8360179609872004,9
BOLD,9,left_frontoparietal,1,0.003236897659825655,0.10939825242964553,0.9155809990939103,9
BOLD,9,left_frontoparietal,2,-0.005591434714985256,-0.16292152840866736,0.8746204976355967,9
BOLD,9,left_frontoparietal,3,0.008099573765579694,0.21175145873087572,0.8375960533175872,9
BOLD,9,left_frontoparietal,4,-0.004301377809328932,-0.10926703031264229,0.9156818064276354,9
BOLD,9,left_frontoparietal,5,-0.014274531463362994,-0.40096998108244636,0.698938428224894,9
BOLD,9,left_frontoparietal,6,-0.010913348037949251,-0.2937993091563357,0.7763893280381903,9
ASL,0,medial_visual,1,0.09613420865867103,2.2924824377263007,0.05106658686948174,9
ASL,0,medial_visual,2,0.05449468785322517,0.8420506957616201,0.424215314625241,9
ASL,0,medial_visual,3,0.029581696729606755,0.4418381376572772,0.67030615663929,9
ASL,0,medial_visual,4,0.005476680602209861,0.06601532748720353,0.9489855569776444,9
