rsn_idx,rsn_name,scale,mean_diff,t,p,n
0,medial_visual,1,-0.41586673829106396,-8.986219340389152,4.505884044707066e-08,19
0,medial_visual,2,-0.37877908174730923,-7.259039880613587,9.505197178524223e-07,19
0,medial_visual,3,-0.23200580099527776,-4.177559157895124,0.0005657347944775971,19
0,medial_visual,4,-0.10100664022492518,-2.5595765097511722,0.019701109318689493,19
0,medial_visual,5,-0.01725420246634768,-0.28172263845752343,0.7813695195576176,19
0,medial_visual,6,-0.07389929061897339,-0.7281849217930237,0.4758675808482308,19
1,occipital_pole,1,-0.5644401150978806,-11.133450029013598,1.6701163123059013e-09,19
1,occipital_pole,2,-0.5596734658641367,-10.966803925517718,2.1195393790453645e-09,19
1,occipital_pole,3,-0.3582554846846802,-7.924800159021584,2.8028166856687313e-07,19
1,occipital_pole,4,-0.223446736094352,-3.1592558964276636,0.005427021192103263,19
1,occipital_pole,5,-0.09832112653641156,-1.0277877161971725,0.3176639088188351,19
1,occipital_pole,6,0.04692493508271614,0.7135164444103326,0.4846755853911082,19
2,lateral_visual,1,-0.5094919978396572,-9.064942887536231,3.9566655044188444e-08,19
2,lateral_visual,2,-0.4458549257106906,-8.538290694602113,9.577340062908197e-08,19
2,lateral_visual,3,-0.28131848335131404,-4.792662156068649,0.00014571325900488365,19
2,lateral_visual,4,-0.23037737657921592,-2.8010573935008702,0.011809933023305427,19
2,lateral_visual,5,-0.10144078316835757,-1.3332309861262928,0.19908486461002622,19
2,lateral_visual,6,-0.032235828447716976,-0.3759637266137506,0.711338266802827,19
3,default_mode,1,-0.5870557749643069,-13.61150386175551,6.472261957963816e-11,19
3,default_mode,2,-0.5324418186397337,-10.5299284148481,4.011244883124525e-09,19
3,default_mode,3,-0.260539087064882,-5.492952855271947,3.235513369280356e-05,19
3,default_mode,4,-0.17786950378009114,-2.836631460768438,0.010941824122140165,19
3,default_mode,5,-0.08190459308062101,-0.832133924066006,0.4162372934031241,19
3,default_mode,6,-0.059064644722351824,-0.5998972926161728,0.5560521286425082,19
4,cerebellum,1,-0.31187175030687425,-4.804719793442505,0.00014192823220328935,19
4,cerebellum,2,-0.38687273375908904,-7.756098459766504,3.798055464209163e-07,19
4,cerebellum,3,-0.32252778581494795,-6.144441401407436,8.395338886805162e-06,19
4,cerebellum,4,-0.2910679452248358,-5.0089611526503806,9.105854570063984e-05,19
4,cerebellum,5,-0.26669505607550154,-3.788332444586231,0.0013459334097014677,19
4,cerebellum,6,-0.16665106737892837,-2.2771395504752254,0.035217809014370605,19
5,sensorimotor,1,-0.5555951873776414,-13.216140160177801,1.0508971767519666e-10,19
5,sensorimotor,2,-0.4796891901718183,-9.064471513995649,3.9597373686548166e-08,19
5,sensorimotor,3,-0.3606715283383257,-6.749771548056739,2.5187231304578645e-06,19
5,sensorimotor,4,-0.26434898888189523,-4.258965933865246,0.0004721739319883416,19
5,sensorimotor,5,-0.15992061879802186,-1.6841245523448278,0.10941858985687034,19
5,sensorimotor,6,-0.11370160677098501,-1.1242994068032255,0.27565645266319005,19
6,auditory,1,-0.5900840908616874,-13.6808175271451,5.952171853134762e-11,19
6,auditory,2,-0.4406790248412863,-8.080579420301264,2.1241173065976877e-07,19
6,auditory,3,-0.3153862299901448,-5.342476467332429,4.451028850778934e-05,19
6,auditory,4,-0.12816438889205015,-2.0565005926990136,0.054527920227651856,19
6,auditory,5,-0.09405738649944562,-1.0072863520929418,0.3271469762240399,19
6,auditory,6,0.03213071476526188,0.4009448631428567,0.6931801543391256,19
7,executive_ctrl,1,-0.4221041112698373,-9.87006714321599,1.0917985894162123e-08,19
7,executive_ctrl,2,-0.4624085374691085,-11.44737608296225,1.0738638559580685e-09,19
7,executive_ctrl,3,-0.4235243354743248,-6.88594176781562,1.9342848178756924e-06,19
7,executive_ctrl,4,-0.2590476678906621,-4.2982804740311185,0.00043274375467100936,19
7,executive_ctrl,5,-0.15370271043248235,-1.9671737897033565,0.06477087402189267,19
7,executive_ctrl,6,-0.11810502625396686,-1.1652182356536636,0.2591405110153504,19
8,right_frontoparietal,1,-0.6276646539923757,-15.418995839318077,8.122207088517133e-12,19
8,right_frontoparietal,2,-0.5826216553804084,-11.772744584607713,6.861168834952447e-10,19
8,right_frontoparietal,3,-0.3461096968737175,-5.813136372569016,1.656150295525536e-05,19
8,right_frontoparietal,4,-0.2024870100730146,-3.3235659964196116,0.003779414961616416,19
8,right_frontoparietal,5,-0.11588928373716467,-1.26233528247496,0.22293893569668682,19
8,right_frontoparietal,6,-0.16633744726400868,-1.4911656853500668,0.1532351761576729,19
9,left_frontoparietal,1,-0.6289703301829275,-14.55739432007934,2.1254492662235453e-11,19
9,left_frontoparietal,2,-0.5621351672574405,-17.1050529475557,1.4052964348018328e-12,19
9,left_frontoparietal,3,-0.29905175171104686,-6.087390755926834,9.42775350437938e-06,19
9,left_frontoparietal,4,-0.18162955168136485,-2.6340052628291746,0.016848429305374543,19
9,left_frontoparietal,5,-0.001524833302768857,-0.02097387433352716,0.983497249348785,19
9,left_frontoparietal,6,-0.07451298431143734,-0.6357151413692326,0.5329620388695849,19
